Species
Soja hispida
Populus trichocarpa
Malus domestica
Glycine max
Physcomitrella patens
Nicotiana tabacum
Linum usitatissimum
Arabidopsis lyrata
Manihot esculenta
Arabidopsis thaliana
Vitis vinifera
Oryza sativa
Fragaria vesca
Cucumis melo
Ricinus communis
Prunus persica
Brassica napus
Brachypodium distachyon
Picea abies
Aegilops tauschii
Vriesea carinata
Solanum tuberosum
Selaginella moellendorffii
Medicago truncatula
Hordeum vulgare
Carica papaya
Camelina sativa
Amborella trichopoda
Theobroma cacao
Solanum lycopersicum
Pinus taeda
Citrus sinensis
Aquilegia caerulea
Zea mays
Salvia sclarea
Saccharum sp.
Phaseolus vulgaris
Lotus japonicus
Hevea brasiliensis
Helianthus petiolaris
Helianthus paradoxus
Gossypium hirsutum
Eugenia uniflora
Digitalis purpurea
Citrus trifoliata
Asparagus officinalis
